Timestamp,Transcription
09:31:56,[Phlip Eze] Because I know seen that the black one they use more
09:32:59,[Spike] Right
09:33:13,[Phlip Eze] Network connection a little problem
09:33:20,[Spike] Hey Siri let me know
09:33:25,[Spike] Pressure
09:33:35,[Phlip Eze] You don't need to say a lot pressure connects we want pressures to speak first
09:33:43,[Spike] Oh
09:33:48,[Spike] Said that I don't need that
09:33:52,[Spike] That I said to say a lot
09:33:58,[Spike] Class
09:34:00,[Spike] Yes
09:34:07,[Spike] Connected
09:34:16,[Phlip Eze] Is working you see by a different name
09:34:31,[Spike] About
09:34:32,[Phlip Eze] To Wi-Fi
09:34:49,[Spike] Oh
09:34:53,[Spike] What is it
09:34:56,[Spike] OK I'm coming
09:35:02,[Spike] Waiting
09:35:22,[Spike] No
09:35:26,[Spike] Wi-Fi
09:35:37,[Spike] Hello
09:35:56,[Spike] OK so is nice meeting you
09:36:04,[Spike] Wow even as I was quiet did you get
09:36:12,[Spike] OK let me go to chrome
09:36:14,[Phlip Eze] Nice mixing view
09:36:26,[Spike] Hi
09:36:38,[Spike] Awesome
09:36:56,[Spike] That
09:37:02,[Spike] Address
09:37:20,[Spike] Oh
09:37:27,[Spike] Oh
09:38:53,[Didi] hello guys
09:39:02,[Phlip Eze] Hello
09:39:03,[Didi] hello
09:39:05,[Didi] hello everyone
09:39:11,[Didi] guys say hello Guy
09:39:22,[Spike] Oh nice to meet you thank you for contacting me
09:39:28,[Spike] Yes
09:39:32,[Phlip Eze] Contacting me
09:39:36,[Didi] it's rocking here
09:39:45,[Didi] okay depends on how you speak
09:39:51,[Didi] instead of hey it's working here I think it's not what I said
09:39:52,[Spike] Right thank you
09:40:04,[Phlip Eze] All right thank you
09:40:15,[Didi] okay it depends on how you lose use your language depend on how you use your language
09:40:21,[Spike] Yes
09:40:27,[Spike] No
09:40:30,[Spike] Catch up
09:40:34,[Didi] is even perfect
09:40:36,[Spike] Yeah
